 1 ,        1 , 100.00 ,   1.60
 1 ,       10 ,  70.00 ,  12.79
 1 ,      100 ,  66.00 ,  38.40
 1 ,     1000 ,  58.50 ,  42.75
 1 ,    10000 ,  57.48 ,  42.53
 1 ,    50000 ,  56.93 ,  41.73
 1 ,   100000 ,  56.90 ,  41.82
 1 ,   500000 ,  56.94 ,  41.06
 1 ,   750000 ,  57.03 ,  41.05
 1 ,  1000000 ,  56.99 ,  40.98
 1 ,  1500000 ,  57.01 ,  40.57
 1 ,  2000000 ,  57.03 ,  41.00
 2 ,        1 ,   0.00 ,   0.74
 2 ,       10 ,  70.00 ,   7.39
 2 ,      100 ,  58.00 ,  47.94
 2 ,     1000 ,  56.90 ,  78.21
 2 ,    10000 ,  57.11 ,  82.97
 2 ,    50000 ,  57.26 ,  83.92
 2 ,   100000 ,  57.07 ,  83.37
 2 ,   500000 ,  56.99 ,  83.30
 2 ,   750000 ,  57.00 ,  81.77
 2 ,  1000000 ,  57.00 ,  81.05
 2 ,  1500000 ,  57.00 ,  82.17
 2 ,  2000000 ,  57.03 ,  80.51
 4 ,        1 , 100.00 ,   0.54
 4 ,       10 ,  40.00 ,   6.50
 4 ,      100 ,  53.00 ,  50.53
 4 ,     1000 ,  56.00 , 140.65
 4 ,    10000 ,  56.86 , 164.03
 4 ,    50000 ,  56.94 , 166.51
 4 ,   100000 ,  56.90 , 165.95
 4 ,   500000 ,  57.01 , 162.78
 4 ,   750000 ,  57.03 , 164.17
 4 ,  1000000 ,  57.05 , 156.18
 4 ,  1500000 ,  56.99 , 159.17
 4 ,  2000000 ,  57.00 , 160.50
 6 ,        1 ,   0.00 ,   0.59
 6 ,       10 ,  60.00 ,   6.45
 6 ,      100 ,  61.00 ,  52.16
 6 ,     1000 ,  58.30 , 176.49
 6 ,    10000 ,  56.74 , 236.09
 6 ,    50000 ,  57.02 , 247.74
 6 ,   100000 ,  57.21 , 248.76
 6 ,   500000 ,  56.98 , 240.80
 6 ,   750000 ,  57.02 , 248.31
 6 ,  1000000 ,  56.95 , 245.14
 6 ,  1500000 ,  57.03 , 227.47
 6 ,  2000000 ,  57.01 , 239.62
 8 ,        1 ,   0.00 ,   0.47
 8 ,       10 ,  50.00 ,   4.78
 8 ,      100 ,  55.00 ,  46.51
 8 ,     1000 ,  56.30 , 230.95
 8 ,    10000 ,  57.43 , 320.45
 8 ,    50000 ,  57.40 , 331.28
 8 ,   100000 ,  56.81 , 329.03
 8 ,   500000 ,  57.05 , 318.28
 8 ,   750000 ,  57.04 , 326.18
 8 ,  1000000 ,  57.04 , 323.65
 8 ,  1500000 ,  56.96 , 324.71
 8 ,  2000000 ,  56.95 , 317.29
